id,bitrate,currentConfiguration,energy,energyDelta,iteration,latency,performance,powerConsumption,quality,runningTime,systemEnergy,time,windowSize
39,8829.113629,-1,60433659.3,141599.42,699.5,0.162756384,6.144152228,870008.3919,55188.2922,113.5270408,3579118769,1571176982,40
40,8828.390099,-1,60285779.66,141736.3164,699.5,0.162677014,6.147149951,871274.3906,55191.29848,113.4808558,3701066224,1571177210,40
41,8828.301448,-1,60814045.7,142079.6221,699.5,0.163591849,6.112773975,868500.6167,55115.01958,114.2804452,3823560964,1571177440,40
42,8829.113772,-1,61069026.58,143558.7771,699.5,0.162834095,6.141219984,881626.0311,55152.6896,113.9135782,3946410939,1571177670,40
43,8828.390243,-1,61363746.2,142507.1507,699.5,0.162848179,6.140688875,875092.075,55129.17729,113.8755717,4069314277,1571177898,40
44,8828.301592,-1,61410186.33,144157.5293,699.5,0.163194523,6.127656637,883347.841,55078.90619,114.1094997,4192547797,1571178128,40
45,9184.108494,-1,45976199.52,283619.1314,699.5,0.061780355,16.18637511,4590765.649,55011.23499,43.11360095,4300763724,1571178286,40
46,9184.156142,-1,46976881.04,286983.5507,699.5,0.061741163,16.19664991,4648172.1,55013.48077,43.1010028,4395141495,1571178373,40
47,9183.4085,-1,47274571.09,288841.12,699.5,0.061708309,16.20527307,4680749.222,54989.66456,43.09281076,4490221337,1571178460,40
48,9185.12308,-1,47636784.74,290819.8021,699.5,0.061592502,16.23574235,4721675.378,54987.35859,42.94642749,4585900372,1571178547,40
49,9184.156142,-1,48042938.87,293306.7664,699.5,0.061479104,16.26568935,4770836.746,54962.20698,42.98221741,4682039811,1571178633,40
50,9183.4085,-1,48243606.15,293008.8329,699.5,0.061804268,16.1801123,4740915.821,54945.14767,43.19845109,4778779340,1571178720,40
51,9185.123223,-1,47991833.75,294340.1207,699.5,0.061550711,16.2467661,4782075.094,54933.42421,43.04827313,4875533787,1571178807,40
