id,currentConfiguration,energy,energyDelta,iteration,latency,performance,powerConsumption,quality,runningTime,systemEnergy,time,windowSize
44,-1,1604327.66,34059.84,49.5,0.009728336,102.7924987,3501096.059,1.873991139,0.489381106,152219259.1,1571859410,20
45,-1,1058021.06,20794.57,49.5,0.006443498,155.1952028,3227217.509,1.109086599,0.331117508,154950249.9,1571859411,20
46,-1,836836.22,19050.93,49.5,0.005285869,189.1836644,3604124.749,0.783999953,0.262370601,156919607.8,1571859412,20
47,-1,889415.69,21733.6,49.5,0.005412514,184.7570207,4015435.186,0,0.277199242,158791205,1571859412,20
48,-1,5151166.42,107958.65,49.5,0.033888168,29.50882415,3185732.818,6.499269314,1.623551533,164902222.1,1571859414,20
49,-1,5963270.66,176982.4,49.5,0.055126324,18.14015398,3210487.987,4.306769133,1.859136961,176859324.9,1571859418,20
50,-1,2658062.6,50270.51,49.5,0.015699377,63.69679486,3202070.363,3.282732377,0.829260936,191582168.7,1571859423,20
51,-1,1883902.59,40299.55,49.5,0.011780336,84.88722293,3420916.885,2.498654852,0.585049677,196021600.5,1571859424,20
52,-1,3441510.38,70517.54,49.5,0.02234386,44.75502508,3156014.271,4.306769133,1.099977808,201647321.8,1571859426,20
53,-1,2306976.85,45281.59,49.5,0.014277129,70.04209235,3171617.308,3.282732377,0.727313294,207810602,1571859428,20
54,-1,1808643.72,37281.84,49.5,0.011210124,89.20507535,3325729.346,2.498654852,0.564694293,212020186.4,1571859429,20
55,-1,1486044.62,36718.43,49.5,0.008758118,114.1797796,4192502.243,1.47878221,0.467765262,215489051.6,1571859430,20
56,-1,2275090.84,44179.86,49.5,0.013805213,72.43640514,3200230.238,3.282732377,0.713112457,219292412.8,1571859431,20
57,-1,1601491.16,32180.49,49.5,0.009764781,102.4088508,3295566.998,2.498654852,0.495202985,223175320.3,1571859432,20
58,-1,1561992.18,36897.37,49.5,0.009414442,106.2197891,3919230.861,1.47878221,0.491410313,226394816.8,1571859433,20
59,-1,952889.27,20717.64,49.5,0.005852273,170.8737927,3540101.723,1.045333271,0.297490559,228945893.3,1571859434,20
60,-1,1853636.44,36809.69,49.5,0.011097193,90.11288001,3317027.178,2.498654852,0.573965645,231829549.3,1571859435,20
61,-1,3856180.03,64432.32,49.5,0.019845822,50.3884398,3246644.078,1.47878221,1.19803998,237539899.8,1571859437,20
62,-1,1010651.61,21137.24,49.5,0.006039338,165.581059,3499926.583,1.045333271,0.312985258,241287207.3,1571859438,20
63,-1,862155.43,20815.37,49.5,0.005564871,179.6986902,3740494.725,0,0.283843312,243264330.1,1571859439,20
64,-1,4160841.12,77827.87,49.5,0.02405884,41.56476325,3234896.991,2.374525609,1.288097286,248378975.1,1571859440,20
65,-1,3647898.57,60367.26,49.5,0.018755035,53.31901426,3218722.797,1.624817445,1.136443591,255847957.2,1571859443,20
66,-1,1917235.14,49835.12,49.5,0.012914243,77.43388597,3858926.999,1.076692166,0.593533862,260291242.6,1571859444,20
67,-1,1333978,26464.62,49.5,0.007837474,127.5921242,3376677.081,0.820682802,0.406954427,264028588.3,1571859445,20
68,-1,3212075.87,61522.55,49.5,0.018935423,52.81107295,3249071.876,1.624817445,0.988386781,268555079.5,1571859446,20
69,-1,1987615.98,41089.05,49.5,0.01190645,83.98809194,3450990.909,1.076692166,0.615696471,273573864.3,1571859448,20
70,-1,3444533,104408.94,49.5,0.03124819,32.00185313,3341279.564,0.820682802,1.076171923,279216585.1,1571859450,20
71,-1,1344121.23,26015.3,49.5,0.00727505,137.4561059,3575961.831,0.624663713,0.407528908,287290408.7,1571859452,20
72,-1,2645095.7,52244.18,49.5,0.0164114,60.9332543,3183407.906,1.076692166,0.830484674,291120697.2,1571859453,20
73,-1,1650338.59,31743.29,49.5,0.009865119,101.3672469,3217729.916,0.820682802,0.517455289,295567858.9,1571859455,20
74,-1,1188476.73,28338.71,49.5,0.007735128,129.2803361,3663637.955,0.624663713,0.388170743,298549858.6,1571859456,20
75,-1,1054122.71,23373.25,49.5,0.006254532,159.8840562,3737010.018,0.369695553,0.31751507,301057631.4,1571859457,20
76,-1,2738679.1,57658.79,49.5,0.017844007,56.04122433,3231269.185,0.820682802,0.855225914,304947667.5,1571859458,20
77,-1,2028001.42,41691.7,49.5,0.011998498,83.34376214,3474743.128,0.624663713,0.63082886,310107457.5,1571859459,20
78,-1,1063675.2,26614.26,49.5,0.006285059,159.1074846,4234527.963,0.369695553,0.319420693,313086172.7,1571859460,20
79,-1,851835.22,18389.53,49.5,0.00515599,193.949169,3566634.062,0.261333318,0.261276717,315058472.5,1571859461,20
80,-1,6311590.86,126680.56,49.5,0.039647772,25.22209803,3195149.503,4.749050751,1.981706145,322332012.2,1571859463,20
81,-1,4086622.22,79317.68,49.5,0.02511615,39.81501882,3158034.922,3.249635124,1.291149464,333078877.1,1571859467,20
82,-1,2558975.65,50160.64,49.5,0.01566031,63.85569719,3203042.639,2.153384566,0.803077998,339778343.3,1571859469,20
83,-1,1920191.04,40889.89,49.5,0.011227367,89.06807863,3641983.938,1.641365838,0.586364062,344265413.2,1571859470,20
84,-1,3784312.82,74092.08,49.5,0.023374898,42.78093455,3169728.425,3.249635124,1.20543854,350043211,1571859472,20
85,-1,2734225.21,50335.38,49.5,0.015687182,63.74631232,3208694.854,2.153384566,0.859196403,356650097.5,1571859474,20
86,-1,1706457.94,36454.06,49.5,0.010893848,91.79492915,3346297.855,1.641365838,0.532348676,360820670,1571859475,20
87,-1,1466158.61,32503.85,49.5,0.009218886,108.4729772,3525789.38,1.249327426,0.459962444,364353380.9,1571859476,20
88,-1,3010342.69,61556.81,49.5,0.018719757,53.41949798,3288333.887,2.153384566,0.938632948,369005480.2,1571859478,20
89,-1,1933985.01,40437.06,49.5,0.011283178,88.62750998,3583835.939,1.641365838,0.599719641,374054560.2,1571859479,20
90,-1,1277156.62,26083.92,49.5,0.00791461,126.348615,3295667.165,1.249327426,0.394097059,377175550.1,1571859480,20
91,-1,1105008.35,23392.85,49.5,0.006624689,150.95048,3531161.937,0.739391164,0.33826165,379704431.7,1571859481,20
92,-1,2551902.18,51161.96,49.5,0.015808764,63.25605413,3236303.711,1.641365838,0.785299916,383421558.4,1571859482,20
93,-1,1642127.24,31803.59,49.5,0.009171958,109.0279745,3467481.001,1.249327426,0.504739027,387732297.4,1571859484,20
94,-1,1572310.11,34477.33,49.5,0.008650153,115.6048958,3985748.144,0.739391164,0.47688714,390703731.4,1571859484,20
95,-1,1054847.59,25307.21,49.5,0.006369438,156.9997185,3973224.846,0.522666636,0.325124998,393135819.9,1571859485,20
96,-1,8052767.21,178069.84,49.5,0.056162484,17.80548035,3170619.038,7.123575191,2.542207286,402326990.3,1571859488,20
97,-1,71415498.73,1367095.84,49.5,0.424398603,2.356275426,3221254.332,4.874452219,22.17715089,483791441.8,1571859513,20
98,-1,4082891.32,84050.87,49.5,0.025827417,38.71854416,3254327.321,3.230076499,1.253740327,553397041.4,1571859535,20
99,-1,2391538.55,44918.04,49.5,0.014695368,68.04865402,3056612.163,2.46204864,0.796238189,560484642.7,1571859537,20
