id,cost,currentConfiguration,energy,energyDelta,iteration,latency,performance,powerConsumption,reliability,responseTime,runningTime,SOAperf,systemEnergy,time,windowSize
34,11.53,-1,4437591.057,223734.4887,749.5,0.006663394,150.0736717,33576656.21,0.732666667,7.567281217,4.997324751,2.080716715,302364083.1,1571694252,80
35,12.24333333,-1,4483768.944,224934.406,749.5,0.006665416,150.0281434,33746491.33,0.779333333,6.858971383,4.999798036,3.23574273,311236145.9,1571694262,80
36,9.173333333,-1,4516417.599,225358.386,749.5,0.006675427,149.8031449,33759394.96,0.634666667,12.08336058,5.006581898,0.999165098,320105927.6,1571694272,80
37,9.766666667,-1,4011913.033,221408.162,749.5,0.006681724,149.6619719,33136382.11,0.668,10.71394979,5.012020717,1.492342455,328985064.7,1571694283,80
38,10.29666667,-1,4282835.419,222723.688,749.5,0.006670067,149.9235352,33391522.69,0.668666667,9.782597507,5.002259228,1.426314266,337868338.1,1571694293,80
39,11.04,-1,4321798.831,224486.5907,749.5,0.006680444,149.6906439,33603542.31,0.72,8.619987962,5.013572443,1.333876415,346762122.4,1571694304,80
40,11.63333333,-1,4309918.736,225512.758,749.5,0.00666949,149.9365015,33812593.97,0.747333333,7.335401891,5.001969134,2.044916554,355646771,1571694314,80
41,12.36,-1,4044484.103,220913.4547,749.5,0.006679964,149.7014112,33071055.92,0.77,6.653992138,5.010785767,3.68847393,364534444.1,1571694324,80
42,12.98666667,-1,4362347.601,221849.89,749.5,0.00666039,150.1413639,33308845.07,0.518,4.213457623,4.995644204,3.294420376,373404717.6,1571694335,80
43,15.18,-1,4322498.725,223519.8693,749.5,0.006651625,150.3392029,33603798.98,0.578,3.923552665,4.987183878,8.901590896,382271685.3,1571694345,80
44,17.06666667,-1,4435050.945,224154.732,749.5,0.006656642,150.2259028,33673846.97,0.592666667,3.187077242,4.992072109,9.029401315,391153676.9,1571694355,80
45,18.2,-1,4275675.487,225257.0913,749.5,0.006672448,149.870022,33759285.24,0.606666667,3.04299867,5.01131745,6.294550376,400068845.1,1571694366,80
46,20.40666667,-1,4423211.672,226212.756,749.5,0.006657336,150.2102289,33979469.87,0.682,2.568068018,4.993198328,9.930308878,408963667.2,1571694376,80
47,21.83333333,-1,4396941.33,226597.8193,749.5,0.006666828,149.9963702,33988850.39,0.716666667,2.328656068,5.001383345,29.3519236,417860018.2,1571694386,80
48,13.78,-1,4354623.505,221917.8387,749.5,0.00667739,149.759121,33234220.44,0.536,4.110738566,5.007608391,3.497641253,426751530.5,1571694397,80
49,15.40666667,-1,4205430.749,223191.2113,749.5,0.006671433,149.8928347,33454763.36,0.582666667,3.898800592,5.004170538,3.880662926,435670523.1,1571694407,80
50,17.38,-1,4270974.452,224932.3073,749.5,0.006688175,149.5176214,33631343.57,0.615333333,3.293402495,5.012461768,7.332725691,444583042,1571694417,80
51,19.24666667,-1,4374923.741,226367.8267,749.5,0.006668693,149.9544163,33944855.32,0.679333333,2.871741457,5.003271298,7.474306305,453521193.7,1571694428,80
52,21.18,-1,4265741.115,221767.4413,749.5,0.006659873,150.153024,33299051.94,0.703333333,2.387391326,4.994835979,26.27622001,462428725.1,1571694438,80
53,22.79333333,-1,4391522.917,223884.2253,749.5,0.006720713,148.7937441,33312572.13,0.732,2.142887539,5.00741458,7.059766843,471361579.5,1571694448,80
54,14.96,-1,4444642.455,232652.9333,749.5,0.006713846,148.9459165,34652704.38,0.555333333,3.782290409,5.0408996,3.65795967,480498480.3,1571694459,80
55,16.62666667,-1,3967229.021,222747.128,749.5,0.006661642,150.1131386,33437270.5,0.605333333,3.251030123,5.001786668,4.857909176,489535023.2,1571694469,80
56,18.07333333,-1,4072777.538,223735.132,749.5,0.006677388,149.7591566,33506384.67,0.602,3.105662863,5.005311692,4.327780069,498461056.3,1571694480,80
57,19.67333333,-1,4368309.181,224388.982,749.5,0.00666334,150.0748889,33675151.54,0.663333333,2.688573963,4.998028796,12.28119832,507399859.8,1571694490,80
58,21.85333333,-1,4497571.299,225816.0167,749.5,0.006675758,149.7957333,33826275.8,0.730666667,2.440792307,5.00645245,7.846930629,516317557.3,1571694500,80
59,23.2,-1,4438073.829,226759.3933,749.5,0.006668522,149.9582693,34004446.17,0.76,2.07522956,5.000562641,38.01943421,525246655.6,1571694511,80
60,15.73333333,-1,4099917.023,222566.2987,749.5,0.006665864,150.0180695,33388966.47,0.569333333,3.560746693,4.999186833,3.223753189,534164672.7,1571694521,80
61,17.36666667,-1,4396784.698,223648.3853,749.5,0.006664822,150.0415142,33556542.38,0.594,3.274980321,4.996690824,4.48803157,543096699.7,1571694531,80
62,18.19333333,-1,4449404.235,224747.6327,749.5,0.006679558,149.7105093,33647082.54,0.650666667,3.172540198,5.009949455,3.240597696,552057018.2,1571694542,80
63,20.54,-1,4490377.805,225930.4547,749.5,0.006664401,150.0509972,33901090.02,0.663333333,2.560089356,4.997942104,5.746503031,560999421.8,1571694552,80
64,22.13333333,-1,4572721.967,228372.44,749.5,0.006711973,148.9874878,34024636.11,0.729333333,2.301641764,5.025446897,216.5278588,569976137,1571694562,80
65,23.95333333,-1,4346959.695,221780.076,749.5,0.00665784,150.1988648,33311115.65,0.75,1.76521732,4.993088645,15.25408758,578931215.7,1571694573,80
66,16.32666667,-1,4401547.289,222936.0387,749.5,0.00666624,150.0095958,33442545.04,0.593333333,3.425053118,4.999727226,2.323354494,587807309.3,1571694583,80
67,17.89333333,-1,4471041.814,225527.454,749.5,0.006660118,150.1474876,33862380.59,0.606666667,3.222474336,4.995717729,4.726612724,596713670.8,1571694593,80
68,19.62,-1,4371889.738,226901.7627,749.5,0.006678412,149.7361992,33975407.54,0.652666667,2.72931455,5.011531827,25.23529085,605674172.6,1571694604,80
69,21.06,-1,4373069.264,227887.868,749.5,0.006676638,149.7759737,34132127.32,0.668666667,2.350772444,5.007676197,11.47246495,614637717,1571694614,80
70,22.20666667,-1,4149065.918,222920.86,749.5,0.006672218,149.8752024,33410309.01,0.736,2.164842412,5.003822614,13.78400537,623591370.7,1571694624,80
71,23.96666667,-1,4406720.647,224746.8027,749.5,0.006668594,149.9566466,33702276.86,0.76,1.867291488,5.002121771,8.391302824,632521684.4,1571694635,80
72,17.3,-1,4492821.159,226050.5273,749.5,0.006677475,149.7572138,33852697.15,0.607333333,3.168480277,5.00737012,51.42736376,641483240.2,1571694645,80
73,18.51333333,-1,4454599.984,227601.4753,749.5,0.006692725,149.4159805,34007297.59,0.620666667,2.930950763,5.014247473,3.852945047,650455592.4,1571694656,80
74,20.45333333,-1,4390578.62,223461.8307,749.5,0.006675949,149.7914429,33472670.04,0.684,2.632879601,5.007215246,8.314396561,659452546.6,1571694666,80
75,21.75333333,-1,4158922.103,224740.282,749.5,0.006690449,149.466805,33591211.89,0.713333333,2.201126934,5.017675578,6.384754665,668429768.8,1571694676,80
76,23.18666667,-1,4416139.849,226750.3913,749.5,0.006674558,149.8226441,33972343.19,0.742,1.92056334,5.006079155,6.47005319,677406291.8,1571694687,80
77,24.46666667,-1,4482767.809,228066.9367,749.5,0.006690701,149.461177,34087152.79,0.757333333,1.778038377,5.018437593,11.04422501,686388808,1571694697,80
78,18.41333333,-1,4138851.501,223428.6333,749.5,0.006707215,149.0931782,33311685.05,0.63,2.859735051,5.030189807,3.731618261,695383460.6,1571694707,80
79,19.52666667,-1,4487264.338,226055.8807,749.5,0.006687182,149.5398151,33804354.6,0.639333333,2.905099124,5.012072911,5.114237815,704349076.3,1571694718,80
80,20.80666667,-1,4525367.926,228214.022,749.5,0.006667244,149.9870121,34229139.27,0.671333333,2.580979017,5.000489297,8.747406597,713339744,1571694728,80
81,22.26666667,-1,4070441.103,223647.75,749.5,0.006673308,149.8507103,33513774.21,0.709333333,2.192285899,5.003818353,9.996051188,722315110,1571694739,80
82,23.38,-1,4206696.441,225291.2093,749.5,0.006647037,150.442964,33893477.28,0.740666667,1.896839543,4.98515023,8.469239639,731296662.9,1571694749,80
83,24.71333333,-1,4440431.201,225144.5247,749.5,0.00665324,150.3027086,33839831.89,0.778666667,1.709523405,4.989954693,29.23680056,740265015.2,1571694759,80
84,19.33,-1,4463049.61,226139.2553,749.5,0.006658267,150.1892233,33963679.11,0.518666667,1.850569484,4.993497657,5.113438793,749221061.6,1571694769,80
85,21.85,-1,4281483.667,227217.6947,749.5,0.006680126,149.697778,34013984.02,0.538,1.734879576,5.001049635,8.284424111,758215526.6,1571694780,80
86,24.84,-1,4339727.221,229973.2107,749.5,0.006655328,150.2555628,34554754.2,0.588,1.521186369,4.99070734,23.29066691,767280855,1571694790,80
87,27.97,-1,4389793.127,228786.98,749.5,0.006642559,150.5443935,34442597.15,0.647333333,1.365155918,4.983183341,18.92590968,776248457,1571694800,80
88,31.37,-1,4261989.216,229006.162,749.5,0.006644181,150.5076448,34467178.09,0.702666667,1.107286136,4.98381529,69.85300599,785212372.5,1571694811,80
89,32.51,-1,4160143.853,229776.9567,749.5,0.006633523,150.7494696,34638754.34,0.713333333,1.023768418,4.97584117,24.65752908,794174672.2,1571694821,80
90,20.32,-1,4477716.759,229682.782,749.5,0.006659599,150.1592023,34488983.33,0.534,1.851937027,4.997601812,98.3403008,803160450,1571694831,80
91,23.24,-1,4256853.93,224975.116,749.5,0.006651181,150.3492409,33824837.92,0.571333333,1.638167058,4.99011347,19.19156703,812162485.8,1571694842,80
92,25.52,-1,4209297.977,224785.65,749.5,0.006631909,150.7861522,33894563.24,0.596,1.457476946,4.97341046,24.86402197,821139558.4,1571694852,80
93,28.52,-1,4379048.187,224641.866,749.5,0.006638822,150.6291273,33837608.23,0.652666667,1.307488914,4.979100692,17.80231872,830102668.8,1571694862,80
