id,bitrate,currentConfiguration,energy,energyDelta,iteration,latency,performance,powerConsumption,quality,runningTime,systemEnergy,time,windowSize
39,1770.212153,-1,52632650.28,287933.7421,699.5,0.069118994,14.46780306,4165768.677,46058.94227,48.29243374,2684962516,1571447633,40
40,164.3734511,-1,23129496.48,285398.3836,699.5,0.03087442,32.38927199,9243845.871,41390.39312,21.13193205,2761457536,1571447703,40
41,159.5343527,-1,22453282.61,286347.3757,699.5,0.030933953,32.32693861,9256734.036,41350.92083,21.13412502,2808801060,1571447747,40
42,8804.345722,-1,75133362.28,290814.9164,699.5,0.097186413,10.28950419,2992341.301,55108.84158,67.92670709,2908461439,1571447838,40
43,8828.390099,-1,75502262.24,291532.9764,699.5,0.097671433,10.23840819,2984833.615,55203.50404,68.14357372,3059997319,1571447975,40
44,1792.300291,-1,52800814.5,290443.48,699.5,0.068547508,14.58842241,4237112.173,46182.13799,47.8237923,3189348295,1571448092,40
45,1770.212153,-1,53353038.71,291101.72,699.5,0.068995064,14.49379049,4219167.342,46087.74229,48.10200816,3296244940,1571448188,40
46,164.3734511,-1,23174454.81,287823.955,699.5,0.030991076,32.26735293,9287317.138,41422.74441,21.17561507,3373462324,1571448258,40
47,159.5343527,-1,22940213.92,287097.0314,699.5,0.030952301,32.30777573,9275466.505,41296.53464,21.14363479,3421305151,1571448302,40
48,9152.784396,-1,31963483.22,166238.3014,699.5,0.072052987,13.87867506,2307167.367,55766.48332,50.34201754,3477837540,1571448375,40
49,9184.058841,-1,31377134.01,162745.1864,699.5,0.072698627,13.7554179,2238628.05,55792.2752,50.73502492,3541501994,1571448478,40
50,2001.275813,-1,18232839.01,163219.9493,699.5,0.0419861,23.81740614,3887475.823,46606.0759,29.16662352,3591658698,1571448559,40
51,1974.571369,-1,18165032.47,162756.3436,699.5,0.041932561,23.84781618,3881383.364,46455.82614,29.11590113,3628393072,1571448618,40
52,174.3884606,-1,8345437.617,163806.8979,699.5,0.019617934,50.97376835,8349854.865,41741.13363,13.40633756,3655403113,1571448662,40
53,167.3052045,-1,8298144.453,162570.3414,699.5,0.019705227,50.74795566,8250112.479,41628.93916,13.42830102,3672889881,1571448690,40
54,9152.812144,-1,30914156.17,160605.9171,699.5,0.072489684,13.79506625,2215569.267,55740.82411,50.70767427,3713030066,1571448756,40
55,9184.058841,-1,30529673.76,160024.2693,699.5,0.072526562,13.78805191,2206422.932,55761.46624,50.56038236,3775307356,1571448858,40
56,2001.275813,-1,17940099.75,160241.8586,699.5,0.042008629,23.80463337,3814498.694,46560.16654,29.21726906,3824678939,1571448939,40
57,1974.571369,-1,17593423.63,160908.6357,699.5,0.041742894,23.95617325,3854755.155,46506.32128,29.08561078,3860868733,1571448998,40
58,174.3884606,-1,8325081.648,162559.6729,699.5,0.019570525,51.09724992,8306352.231,41653.47118,13.3437765,3887481844,1571449042,40
59,167.3052045,-1,8066564.247,161682.4464,699.5,0.019626005,50.95280417,8238174.031,41610.11407,13.36535124,3904789810,1571449070,40
60,8797.545054,-1,45524327.08,155370.1914,699.5,0.110829553,9.022864138,1401884.128,56386.77579,77.34762924,45863806.04,1571449870,40
61,8828.34533,-1,46177257.6,154726.5286,699.5,0.11274255,8.869765658,1372388.05,56457.56872,78.50825237,138420249.2,1571450027,40
