,cpufreq,uncore_min,uncore_max,reducermaxSizeInFlight,shufflefilebuffer,shufflesortbypassMergeThreshold,speculationinterval,speculationmultiplier,speculationquantile,broadcastblockSize,iocompressionsnappyblockSize,kryoserializerbuffermax,kryoserializerbuffer,drivermemory,executormemory,networktimeout,localitywait,taskmaxFailures,shufflecompress,memoryfraction,shufflespillcompress,broadcastcompress,memorystorageFraction
1752,1800000,15,15,45,30,560,650,5,0.7,60,84,46,114,13,14,240,1,7,0,0.5,1,1,0.7
1753,3000000,15,15,74,68,360,930,1,0.6,46,45,94,68,11,16,300,4,4,1,0.6,1,0,0.7999999999999999
1754,3000000,15,15,31,32,450,160,2,0.6,8,121,64,112,9,14,280,10,1,1,0.6,0,0,0.7999999999999999
1755,2400000,15,15,74,109,570,920,3,0.5,40,96,32,66,11,14,200,3,4,1,0.8999999999999999,1,0,0.7
1756,1800000,10,10,79,112,320,320,1,1.0,14,105,126,86,14,13,200,7,2,1,0.7,0,0,0.7999999999999999
1757,1800000,10,10,116,123,380,710,2,0.7999999999999999,18,82,118,124,10,9,340,2,4,1,0.5,0,0,0.6
1758,1800000,20,20,66,73,180,820,5,0.7999999999999999,26,107,100,124,14,12,200,3,6,0,1.0,1,0,0.5
1759,2400000,10,10,67,84,120,880,1,0.7999999999999999,40,111,110,24,13,11,300,1,7,0,0.7999999999999999,1,1,0.7999999999999999
1760,1200000,20,20,128,92,860,780,3,0.5,30,78,112,34,14,12,380,10,5,1,0.6,0,0,0.5
1761,3000000,10,10,105,55,370,690,2,0.5,32,47,90,58,14,11,500,3,6,1,0.7,0,1,0.7
1762,1800000,15,15,45,69,900,650,5,0.7,34,60,36,98,13,9,260,6,6,1,0.8999999999999999,1,1,1.0
1763,2400000,20,20,60,44,430,420,4,0.5,26,107,118,36,8,8,400,10,4,0,0.5,0,0,0.7999999999999999
1764,2400000,30,30,55,106,100,290,2,1.0,44,78,40,30,13,11,420,8,3,1,1.0,0,0,0.7999999999999999
1765,2400000,20,20,127,71,480,370,3,1.0,32,72,30,52,11,8,60,1,4,1,1.0,0,1,0.8999999999999999
1766,3000000,20,20,101,41,820,320,3,0.7999999999999999,56,91,38,78,10,16,260,2,2,0,1.0,1,0,0.7999999999999999
1767,2400000,20,20,84,61,500,650,3,0.5,50,87,120,78,12,8,460,8,2,0,0.8999999999999999,1,0,0.7
1768,2400000,15,15,107,86,280,350,1,0.8999999999999999,20,46,56,52,10,12,160,2,6,0,0.7999999999999999,0,0,0.6
1769,1800000,20,20,50,99,610,570,2,0.8999999999999999,22,26,48,68,11,12,200,1,6,0,0.7999999999999999,0,0,1.0
1770,1800000,10,10,118,38,200,720,2,0.6,52,122,92,86,9,11,100,1,5,1,0.7,1,1,0.7999999999999999
1771,1200000,20,20,68,122,260,650,3,0.6,24,60,126,56,8,16,60,9,3,0,0.7,0,1,0.7
1772,3000000,30,30,121,56,250,530,4,0.7,10,40,30,80,10,18,480,8,8,0,0.6,0,1,0.5
1773,2400000,15,15,24,70,190,690,1,0.6,58,80,84,88,12,16,280,8,7,0,0.7,0,1,0.7
1774,3000000,10,10,80,38,620,340,4,0.5,36,31,102,26,12,17,20,1,2,0,0.7,1,1,0.5
1775,3000000,15,15,55,99,780,200,4,0.8999999999999999,64,37,56,76,11,17,360,2,7,0,0.5,1,0,0.5
1776,1800000,30,30,84,33,610,280,1,0.7999999999999999,62,97,66,98,12,17,240,3,2,1,1.0,1,0,0.6
1777,3000000,20,20,31,105,600,310,3,0.6,32,90,122,120,12,14,280,4,6,0,0.8999999999999999,0,1,0.6
1778,3000000,30,30,128,66,140,510,5,0.7999999999999999,28,95,54,68,8,11,380,1,5,0,0.7999999999999999,1,1,0.7
1779,1200000,10,10,66,114,640,900,4,0.5,28,114,72,74,12,10,160,8,3,0,0.7,0,1,0.7999999999999999
1780,1800000,10,10,84,66,600,230,3,1.0,4,63,30,82,8,8,160,10,1,0,0.5,0,1,0.5
1781,1800000,20,20,84,114,900,190,2,0.5,8,68,108,74,12,16,200,10,1,1,0.8999999999999999,0,1,0.5
1782,1200000,10,10,49,64,600,400,3,0.5,34,91,62,52,10,13,280,3,2,0,0.7,1,1,0.6
1783,2400000,10,10,84,119,190,270,5,1.0,24,50,48,116,8,13,480,3,4,1,0.6,1,0,0.7
1784,1800000,30,30,82,52,370,730,5,0.5,56,69,124,56,14,11,380,3,6,1,0.8999999999999999,0,1,0.7
1785,2400000,10,10,96,91,560,880,4,0.7,24,86,128,86,9,10,400,4,7,0,0.7,1,0,0.6
1786,1200000,15,15,105,117,820,210,5,1.0,24,44,102,36,12,9,220,10,1,1,0.7999999999999999,0,0,0.5
1787,1800000,10,10,126,75,490,860,5,0.6,48,111,92,122,8,14,60,1,6,0,0.5,0,0,1.0
