,cpufreq,uncore_min,uncore_max,reducermaxSizeInFlight,shufflefilebuffer,shufflesortbypassMergeThreshold,speculationinterval,speculationmultiplier,speculationquantile,broadcastblockSize,iocompressionsnappyblockSize,kryoserializerbuffermax,kryoserializerbuffer,drivermemory,executormemory,networktimeout,localitywait,taskmaxFailures,shufflecompress,memoryfraction,shufflespillcompress,broadcastcompress,memorystorageFraction
0,2400000,20,20,60,88,660,210,4,0.7,56,128,120,102,13,10,80,3,5,0,0.7,1,1,0.8999999999999999
1,2400000,20,20,105,73,570,530,2,0.5,26,82,50,102,8,13,420,1,1,1,0.8999999999999999,0,0,1.0
2,1200000,15,15,48,115,410,900,2,0.8999999999999999,14,69,64,92,10,8,320,9,2,0,0.7999999999999999,0,1,0.8999999999999999
3,2400000,20,20,52,93,860,930,4,0.7,64,109,68,68,9,12,80,6,3,0,0.7,1,0,1.0
4,1200000,20,20,54,81,160,720,2,0.8999999999999999,46,24,40,76,10,18,160,3,1,0,0.8999999999999999,0,0,0.6
5,1800000,30,30,38,54,770,910,3,0.7999999999999999,12,42,40,92,10,15,480,9,6,0,0.8999999999999999,1,1,0.7
6,2400000,30,30,87,123,680,620,1,0.6,56,31,36,74,11,18,260,9,7,0,0.7999999999999999,0,0,0.8999999999999999
7,3000000,30,30,111,121,590,220,5,0.8999999999999999,22,71,66,96,14,15,340,5,8,0,0.7,1,1,0.7999999999999999
8,2400000,10,10,59,68,750,920,2,0.6,18,44,90,36,11,8,320,10,5,1,0.5,1,1,0.7999999999999999
9,1800000,15,15,69,50,990,560,4,0.5,38,96,108,82,9,9,140,8,4,0,0.6,1,1,0.6
10,3000000,10,10,56,116,220,990,1,0.7999999999999999,20,76,46,92,10,13,60,3,4,0,0.7,0,0,0.5
11,1800000,10,10,51,50,530,120,2,0.6,58,72,30,112,10,15,280,6,8,1,0.5,0,1,0.7999999999999999
12,1200000,30,30,73,99,650,680,3,0.5,42,30,42,26,13,17,480,7,5,0,0.8999999999999999,0,1,0.7999999999999999
13,1200000,30,30,55,54,280,470,2,0.5,20,52,80,40,14,10,120,10,4,1,0.8999999999999999,0,0,0.7
14,1200000,20,20,71,37,550,440,4,0.7999999999999999,10,27,82,92,12,11,80,6,7,1,1.0,1,1,0.5
15,2400000,20,20,128,121,180,380,3,1.0,34,35,108,44,10,12,320,8,4,0,0.5,1,0,0.5
16,2400000,10,10,59,83,930,250,2,0.7999999999999999,8,109,116,32,10,8,360,3,4,0,1.0,0,0,0.6
17,1800000,20,20,73,85,650,140,1,0.8999999999999999,8,109,52,120,10,9,280,7,3,0,0.7999999999999999,1,0,0.5
18,2400000,10,10,122,31,560,760,3,0.5,50,31,116,118,13,12,440,6,7,0,0.7999999999999999,0,1,1.0
19,3000000,10,10,115,92,870,640,1,0.7999999999999999,48,65,110,72,11,16,260,7,6,0,0.6,1,1,0.7999999999999999
20,1800000,20,20,75,41,520,750,4,0.7,46,30,64,74,12,18,240,10,6,0,0.8999999999999999,0,1,1.0
21,3000000,30,30,82,72,550,980,1,0.5,34,111,84,26,11,11,140,8,3,0,0.5,0,1,0.5
22,1200000,20,20,71,69,880,260,4,0.5,16,34,120,52,14,13,280,2,1,1,0.8999999999999999,1,1,1.0
23,3000000,20,20,75,59,870,430,5,0.8999999999999999,60,34,110,30,11,13,120,6,5,0,0.7,0,0,0.6
24,1200000,10,10,111,73,410,860,5,0.8999999999999999,64,67,76,28,8,9,500,10,2,1,0.7999999999999999,0,1,0.8999999999999999
25,2400000,20,20,42,31,230,550,5,1.0,54,89,26,66,9,13,40,7,8,1,0.5,0,1,0.7999999999999999
26,1800000,10,10,109,33,200,450,2,0.7,14,106,112,104,10,17,440,1,8,0,0.7999999999999999,1,0,1.0
27,3000000,20,20,100,33,820,530,4,0.6,22,90,118,78,14,14,480,9,1,1,0.8999999999999999,0,0,0.8999999999999999
28,1200000,15,15,46,28,680,970,5,0.7999999999999999,64,118,28,54,8,9,140,10,3,0,0.5,1,0,0.7999999999999999
29,1200000,10,10,31,32,940,570,4,0.7999999999999999,64,30,110,110,11,18,360,6,8,0,0.8999999999999999,1,1,0.7
30,2400000,30,30,64,86,790,620,4,0.6,58,94,44,106,12,9,460,1,4,0,0.6,0,0,0.6
31,3000000,30,30,74,38,150,120,4,0.8999999999999999,28,105,68,66,10,11,120,1,6,0,0.5,0,1,0.8999999999999999
32,1200000,15,15,24,77,900,220,3,0.7,6,62,122,62,13,14,220,9,1,1,0.7999999999999999,0,1,0.5
33,1200000,10,10,42,115,180,880,5,0.7999999999999999,8,117,34,92,12,10,460,8,7,1,0.5,1,0,0.8999999999999999
34,1800000,30,30,126,126,670,630,2,0.7999999999999999,14,96,90,44,12,14,300,6,4,0,0.7999999999999999,1,0,1.0
35,2400000,20,20,39,110,870,760,2,0.8999999999999999,6,39,34,74,11,17,340,9,6,0,0.5,1,1,0.8999999999999999
36,3000000,15,15,99,89,570,770,4,0.5,56,76,128,120,8,12,260,4,1,0,0.8999999999999999,1,0,0.7
37,3000000,30,30,93,36,420,540,3,0.8999999999999999,58,91,110,80,10,9,280,10,7,1,0.5,1,0,1.0
38,1800000,15,15,84,108,990,630,1,1.0,22,54,48,56,13,18,360,2,1,1,0.5,1,0,0.8999999999999999
39,2400000,15,15,127,42,360,520,1,1.0,52,114,118,78,13,16,120,1,6,1,1.0,1,0,1.0
40,3000000,20,20,57,113,400,330,5,0.6,6,128,124,124,8,15,360,7,5,0,0.6,0,0,0.7999999999999999
41,3000000,20,20,103,117,450,400,3,1.0,16,124,102,66,8,11,480,7,1,1,0.6,0,1,0.8999999999999999
42,1800000,20,20,25,78,500,520,2,0.7999999999999999,38,67,90,108,12,15,420,10,3,1,0.8999999999999999,1,1,0.5
43,3000000,30,30,91,61,310,930,2,0.7,34,55,28,36,11,8,160,3,7,1,1.0,0,1,0.8999999999999999
44,1200000,20,20,121,86,710,860,3,0.8999999999999999,46,25,68,88,10,13,60,2,4,1,0.8999999999999999,0,0,0.7
45,2400000,30,30,79,56,990,880,2,0.7999999999999999,4,25,54,48,14,10,400,4,4,0,0.7999999999999999,0,1,0.7999999999999999
46,3000000,20,20,49,45,850,920,1,0.8999999999999999,60,35,104,128,13,16,260,6,8,0,0.6,1,1,0.7999999999999999
47,1800000,10,10,36,55,630,170,3,0.5,52,51,120,54,8,16,200,6,4,0,0.7999999999999999,0,1,0.7
48,2400000,20,20,89,51,360,210,2,0.7,8,77,112,64,13,10,260,4,3,0,0.8999999999999999,0,0,0.6
49,3000000,15,15,49,63,780,910,2,0.5,38,54,52,126,9,13,380,3,2,0,0.6,1,0,0.8999999999999999
50,1800000,15,15,86,70,430,450,5,0.6,14,33,56,124,14,16,460,10,6,1,0.5,0,1,0.7999999999999999
51,1800000,30,30,58,111,880,150,2,0.8999999999999999,4,46,82,46,11,11,220,2,4,1,0.6,0,1,1.0
52,2400000,30,30,108,92,450,650,3,0.6,52,105,118,92,12,10,80,4,2,1,0.8999999999999999,0,0,1.0
53,3000000,10,10,65,36,590,610,1,0.6,50,76,50,102,11,17,420,10,8,1,1.0,0,0,0.6
54,1200000,20,20,45,77,770,260,4,0.7999999999999999,48,105,114,76,10,13,60,2,6,1,0.6,1,1,0.8999999999999999
55,1200000,30,30,85,51,480,870,3,0.6,38,68,96,126,12,8,60,2,1,1,0.5,0,0,0.5
56,1800000,10,10,94,98,520,530,4,0.8999999999999999,18,80,120,118,8,8,400,3,4,1,1.0,1,1,0.5
57,2400000,30,30,92,102,900,890,3,0.5,18,122,70,68,13,8,500,4,5,0,0.7999999999999999,0,0,0.8999999999999999
58,3000000,15,15,85,46,580,1000,5,0.8999999999999999,54,108,94,102,8,16,220,4,6,1,0.7,1,0,0.5
59,1800000,15,15,62,75,1000,720,1,0.7,56,32,88,120,14,17,180,8,1,1,0.7999999999999999,0,1,0.7999999999999999
60,1200000,10,10,108,69,720,640,4,0.5,64,88,64,104,8,13,400,9,7,0,0.7999999999999999,0,0,0.7
61,1800000,20,20,117,100,210,470,3,0.8999999999999999,16,60,124,90,10,15,460,10,2,0,0.7999999999999999,0,0,0.6
62,1200000,10,10,34,38,990,980,4,0.7999999999999999,34,80,100,100,10,11,460,4,3,1,1.0,0,1,0.6
63,2400000,10,10,106,117,960,700,4,1.0,46,64,50,118,12,15,40,9,1,0,0.6,0,0,0.7
64,1800000,30,30,40,35,240,640,4,1.0,34,93,90,74,12,9,80,7,4,0,0.7,1,0,0.6
65,1200000,15,15,68,122,810,820,4,0.6,58,126,86,104,13,15,140,2,6,1,0.8999999999999999,0,0,0.6
66,2400000,15,15,105,51,140,350,5,0.7,6,86,64,112,8,11,180,2,3,0,0.7999999999999999,0,1,1.0
67,1800000,30,30,27,79,520,670,4,1.0,58,31,114,96,11,9,260,5,8,0,0.5,1,1,0.5
68,3000000,10,10,76,43,140,160,2,0.8999999999999999,6,62,68,118,8,13,320,4,6,1,1.0,1,1,0.8999999999999999
69,1200000,20,20,94,56,580,230,4,1.0,10,71,74,114,11,11,380,4,6,1,0.5,1,1,1.0
70,3000000,30,30,109,128,970,380,5,0.8999999999999999,16,86,128,90,12,16,420,8,5,0,0.8999999999999999,1,1,1.0
71,1800000,30,30,41,84,190,160,1,1.0,32,101,100,76,9,16,60,1,3,1,0.7,1,0,0.7
72,1200000,30,30,79,58,640,110,3,0.7999999999999999,4,71,46,78,13,11,480,1,5,0,0.8999999999999999,1,1,0.5
73,3000000,20,20,98,90,240,360,1,0.5,50,45,50,34,11,15,240,7,1,0,0.8999999999999999,1,1,1.0
74,1200000,15,15,58,79,620,860,2,1.0,60,115,66,104,11,18,220,4,4,1,0.8999999999999999,0,0,1.0
75,1200000,10,10,87,47,560,840,1,0.5,12,97,34,90,12,11,300,4,7,1,0.5,0,1,0.7
76,1200000,30,30,101,45,600,880,2,0.5,40,28,60,106,10,17,380,5,6,0,0.6,0,1,0.7
77,3000000,10,10,88,105,400,880,4,1.0,16,54,106,124,8,11,80,5,8,1,0.6,1,0,0.7
78,2400000,15,15,109,50,830,510,2,0.5,4,26,122,54,9,13,480,8,5,1,1.0,0,1,1.0
79,2400000,20,20,122,121,270,570,5,0.6,60,31,94,54,10,16,220,4,1,1,0.7999999999999999,1,0,0.7999999999999999
80,1800000,20,20,105,51,710,670,1,1.0,24,74,70,86,11,8,80,3,5,0,1.0,0,0,0.5
81,2400000,10,10,59,105,330,550,5,0.8999999999999999,26,105,42,30,14,9,180,1,6,1,0.7,0,1,0.5
82,1800000,10,10,124,24,650,220,1,1.0,44,44,30,30,13,11,200,3,8,0,0.6,0,0,0.5
83,1200000,10,10,77,72,230,390,1,0.7,58,51,82,84,13,14,320,5,6,0,0.6,1,1,1.0
84,2400000,10,10,122,55,870,560,3,0.7,20,24,52,78,10,10,360,6,1,0,0.8999999999999999,0,0,0.6
85,3000000,20,20,95,93,780,240,3,0.8999999999999999,18,68,70,66,12,12,80,1,7,1,1.0,1,0,0.6
86,1200000,15,15,75,123,590,230,1,0.7,44,99,42,66,8,12,340,4,5,1,1.0,0,0,0.5
87,1200000,15,15,106,35,490,930,5,0.8999999999999999,4,110,24,38,12,16,160,2,1,0,0.8999999999999999,1,1,0.6
88,1200000,10,10,41,108,140,840,2,0.8999999999999999,60,118,68,82,13,14,300,4,6,1,0.7,0,1,0.7999999999999999
89,1800000,15,15,63,126,600,920,1,0.6,16,127,62,98,14,15,320,7,1,1,1.0,0,0,0.8999999999999999
90,1200000,15,15,86,119,200,700,5,0.5,42,92,116,108,12,13,500,10,6,0,0.5,1,1,0.8999999999999999
91,2400000,10,10,127,92,660,740,1,0.8999999999999999,20,52,114,46,14,9,440,7,1,0,0.7999999999999999,0,1,0.6
92,3000000,30,30,68,115,930,500,3,0.7999999999999999,58,83,116,112,9,14,260,1,8,1,1.0,1,1,0.8999999999999999
93,2400000,30,30,95,69,430,630,3,0.8999999999999999,42,42,66,90,9,18,100,7,7,1,0.7999999999999999,0,0,0.6
94,1800000,20,20,116,42,560,320,5,0.7,16,50,32,118,9,11,40,8,7,1,0.5,0,0,0.6
95,3000000,30,30,104,47,710,330,2,0.7999999999999999,36,50,34,62,9,15,120,5,7,0,0.7,1,0,0.6
96,3000000,30,30,82,63,200,290,5,0.7999999999999999,58,113,32,48,13,10,480,5,3,0,0.8999999999999999,0,1,0.7
97,1800000,15,15,56,45,610,850,2,0.6,44,66,106,102,11,11,340,8,4,0,1.0,0,1,1.0
98,3000000,20,20,115,104,410,150,3,0.8999999999999999,8,46,76,42,13,16,480,8,5,1,0.5,0,1,0.8999999999999999
99,1200000,30,30,33,49,120,920,5,0.5,32,80,104,118,8,15,140,8,8,0,0.8999999999999999,1,1,0.7999999999999999
100,3000000,10,10,103,41,350,420,1,0.7,44,70,92,100,10,18,500,9,7,0,0.7999999999999999,0,0,1.0
101,3000000,20,20,84,34,330,180,4,0.7999999999999999,52,118,40,106,10,16,500,2,2,1,0.7,1,0,1.0
102,2400000,15,15,101,39,660,590,3,0.7999999999999999,6,30,46,40,10,12,300,7,1,0,0.6,0,0,0.6
103,3000000,30,30,27,79,180,920,1,0.5,12,57,108,118,11,12,400,2,8,1,1.0,1,1,0.8999999999999999
104,1200000,10,10,86,120,960,600,1,0.6,62,83,124,106,12,9,420,10,3,1,0.5,1,0,0.5
105,2400000,10,10,34,106,260,340,4,0.7,40,100,44,48,14,10,120,10,8,0,0.7999999999999999,0,1,1.0
106,3000000,10,10,60,75,350,860,2,0.6,10,46,74,38,8,16,120,10,7,0,0.7999999999999999,0,0,1.0
107,3000000,15,15,54,37,910,720,3,1.0,48,32,42,76,12,9,320,10,5,0,0.5,1,0,1.0
108,1800000,10,10,82,70,980,510,1,1.0,40,103,122,66,8,15,340,4,1,0,1.0,1,0,1.0
109,1200000,30,30,89,44,300,100,1,0.8999999999999999,18,102,54,100,10,12,220,9,5,1,0.7999999999999999,1,0,0.8999999999999999
110,3000000,15,15,93,77,830,620,5,0.6,24,45,72,74,13,15,80,1,2,1,0.6,0,0,0.6
111,1800000,20,20,106,62,640,720,1,1.0,36,50,118,82,11,15,280,7,6,1,0.6,1,1,0.7999999999999999
112,3000000,20,20,63,106,490,450,4,0.6,6,43,122,68,12,11,280,6,8,1,0.6,0,1,1.0
113,2400000,10,10,107,56,380,770,3,0.8999999999999999,40,109,106,66,13,18,140,2,8,1,0.6,1,1,0.7999999999999999
114,1800000,10,10,117,45,850,360,1,0.6,36,77,60,120,12,15,220,10,7,1,0.5,1,1,0.7999999999999999
115,3000000,20,20,118,103,380,760,1,0.8999999999999999,52,69,26,76,10,18,260,9,1,0,0.8999999999999999,0,0,0.6
116,1800000,20,20,98,81,950,470,1,0.8999999999999999,10,82,78,100,14,14,160,3,4,1,0.6,1,0,0.8999999999999999
117,1800000,10,10,78,87,860,120,2,0.5,10,30,38,30,14,18,160,10,2,0,0.5,1,1,0.5
118,3000000,15,15,94,114,260,380,3,0.7999999999999999,22,110,98,66,13,10,340,3,5,1,0.7,0,1,0.7999999999999999
119,1200000,20,20,88,104,400,470,3,1.0,18,70,96,38,11,8,420,7,2,1,0.7,0,1,0.6
120,3000000,30,30,28,79,700,660,2,0.5,30,111,76,108,12,11,420,9,5,0,0.6,1,0,0.5
121,3000000,10,10,30,69,630,550,3,0.6,34,41,50,66,14,17,420,1,4,1,0.6,1,0,0.7
122,1200000,10,10,60,30,210,430,2,0.7,44,63,114,82,8,18,480,1,1,0,0.5,0,1,0.6
123,1200000,15,15,28,54,870,510,5,0.8999999999999999,64,84,28,32,8,11,240,9,3,1,0.8999999999999999,0,0,1.0
124,3000000,10,10,64,121,170,320,3,0.7,10,59,92,42,9,16,260,7,6,1,0.8999999999999999,1,0,1.0
125,1800000,10,10,125,90,970,250,3,0.6,64,46,72,102,14,15,480,5,7,0,0.7,0,1,0.5
126,2400000,10,10,119,57,790,920,2,0.6,44,128,40,52,8,12,480,8,2,1,1.0,0,1,0.7999999999999999
127,1800000,15,15,93,51,620,260,1,0.8999999999999999,14,65,72,62,12,12,300,5,7,0,1.0,1,0,0.5
128,2400000,20,20,42,78,540,190,4,0.8999999999999999,28,75,66,114,8,8,300,6,2,0,0.5,1,0,0.8999999999999999
129,1200000,15,15,115,64,490,190,4,0.6,64,112,106,52,9,17,40,8,6,0,0.8999999999999999,1,0,0.7
130,3000000,30,30,105,38,950,290,5,0.7999999999999999,46,40,38,122,13,11,280,7,6,0,0.8999999999999999,0,1,0.7
131,1200000,15,15,73,125,660,870,2,0.6,46,114,34,124,10,13,180,10,2,0,0.8999999999999999,1,1,0.6
132,2400000,20,20,105,117,320,340,1,0.8999999999999999,12,54,42,44,10,17,360,8,3,0,0.6,1,0,0.6
133,3000000,20,20,30,128,900,100,5,1.0,58,108,44,56,12,13,240,2,4,0,0.7999999999999999,0,1,0.8999999999999999
134,2400000,30,30,48,63,830,440,3,0.6,32,69,32,80,11,16,200,1,5,1,0.7999999999999999,1,0,0.7
135,3000000,10,10,69,37,850,830,4,0.5,54,114,54,46,14,8,100,2,7,0,0.7999999999999999,0,0,0.5
136,1800000,10,10,119,100,680,180,3,0.7999999999999999,56,39,114,64,10,14,160,2,4,1,0.7,0,0,1.0
137,1800000,30,30,89,54,840,600,4,0.8999999999999999,52,45,126,120,8,9,80,1,5,1,0.7999999999999999,1,1,0.5
138,3000000,15,15,86,29,320,810,1,0.8999999999999999,44,38,94,90,8,8,180,4,7,0,0.6,0,0,0.7999999999999999
139,1200000,20,20,112,35,380,980,1,0.7,56,25,42,24,9,14,400,6,5,1,0.7999999999999999,1,1,1.0
140,3000000,15,15,67,57,800,270,3,0.6,22,29,112,64,10,10,440,6,7,0,0.8999999999999999,1,1,0.5
141,2400000,30,30,85,91,520,320,2,1.0,26,49,78,44,12,10,220,9,1,1,0.6,0,0,0.7999999999999999
142,3000000,30,30,85,58,370,910,5,0.8999999999999999,44,33,78,126,14,17,440,7,4,1,0.8999999999999999,0,1,1.0
143,2400000,15,15,38,44,530,300,5,0.5,8,27,42,92,14,16,180,5,8,1,0.6,1,0,0.8999999999999999
144,1200000,30,30,57,118,280,630,4,0.6,12,116,34,102,10,15,360,10,7,1,0.7999999999999999,1,1,0.5
145,1200000,10,10,31,67,140,570,2,0.6,56,35,24,28,13,11,260,10,2,1,0.8999999999999999,0,0,1.0
146,2400000,15,15,43,108,350,430,4,0.5,44,114,88,90,13,8,200,1,7,1,1.0,1,0,1.0
147,1200000,10,10,55,67,590,690,3,0.8999999999999999,64,50,100,32,13,15,160,4,4,1,0.7999999999999999,1,1,1.0
148,2400000,15,15,39,103,700,450,5,0.7,26,64,38,90,13,8,500,9,6,1,0.7,0,0,0.7
149,1800000,30,30,125,45,410,150,4,1.0,14,27,78,40,13,18,280,6,4,1,0.6,0,1,0.7999999999999999
150,1800000,10,10,33,106,280,110,3,0.5,64,41,68,100,11,16,420,1,4,0,0.8999999999999999,1,1,0.6
151,1200000,20,20,45,35,820,470,2,0.6,62,80,94,112,11,18,120,1,5,0,0.8999999999999999,0,1,1.0
152,1200000,30,30,121,87,510,770,4,0.7999999999999999,50,108,106,78,14,8,420,4,1,1,0.6,1,1,0.5
153,1800000,20,20,113,76,560,120,1,0.7999999999999999,34,25,28,84,12,12,360,2,7,1,0.7999999999999999,1,1,0.6
154,1200000,10,10,78,115,550,620,2,0.6,64,68,124,62,14,12,340,1,4,0,0.6,0,1,0.5
155,2400000,15,15,97,87,530,840,2,0.6,44,128,110,96,8,10,180,10,1,0,0.5,0,1,0.5
156,2400000,10,10,127,75,160,830,2,0.7999999999999999,44,29,92,34,8,18,20,9,6,1,0.6,0,1,0.5
157,1800000,20,20,60,74,550,950,2,0.6,64,50,60,118,14,8,20,5,6,1,0.7,0,1,1.0
158,1800000,15,15,81,67,810,910,2,0.7999999999999999,10,86,60,100,8,10,400,5,5,1,0.6,1,0,0.6
159,2400000,30,30,59,70,840,320,4,0.8999999999999999,50,121,30,48,9,11,60,7,1,1,0.6,1,0,0.5
160,3000000,10,10,83,84,850,830,4,0.6,58,78,40,98,9,10,100,6,3,1,0.7999999999999999,0,1,0.7999999999999999
161,2400000,30,30,80,87,900,730,1,0.8999999999999999,54,37,94,110,12,10,140,3,8,1,0.7,0,0,0.6
162,2400000,15,15,59,43,860,120,1,0.7999999999999999,52,34,86,60,8,17,400,1,1,0,0.7999999999999999,1,0,0.7
163,1200000,30,30,65,75,280,820,4,0.7999999999999999,18,25,38,110,12,11,500,9,6,1,0.5,1,1,0.5
164,1800000,30,30,58,64,730,750,3,1.0,32,46,100,40,12,16,280,2,3,0,1.0,1,1,0.7999999999999999
165,2400000,20,20,75,91,320,100,3,0.7999999999999999,14,119,80,76,10,14,200,1,2,1,0.7,1,1,0.6
166,1800000,30,30,109,102,650,870,1,1.0,50,57,128,114,11,18,60,6,6,0,0.5,0,0,1.0
167,3000000,10,10,128,89,480,900,2,1.0,38,101,88,58,11,14,40,9,6,0,0.5,1,1,0.6
168,3000000,10,10,43,114,420,690,2,0.8999999999999999,26,118,124,106,11,13,220,6,4,0,0.7999999999999999,1,1,0.6
169,2400000,15,15,123,42,450,510,4,1.0,20,86,84,28,13,14,320,6,1,1,0.7999999999999999,0,1,0.8999999999999999
170,1200000,30,30,89,65,260,470,1,0.6,24,33,82,100,8,11,20,10,6,0,0.8999999999999999,0,1,0.8999999999999999
171,2400000,20,20,87,97,850,220,2,0.7999999999999999,40,97,86,112,11,9,500,8,4,0,0.7,1,1,1.0
172,3000000,15,15,89,98,740,500,3,1.0,62,39,26,72,14,13,180,2,5,1,1.0,1,1,0.6
173,3000000,15,15,62,71,910,660,5,1.0,12,71,52,86,12,10,60,3,3,1,0.6,1,0,1.0
174,1200000,20,20,62,37,740,290,1,0.7,4,24,24,124,10,12,400,10,6,1,0.5,1,0,0.7
175,1800000,15,15,37,87,630,460,2,1.0,6,35,100,80,14,10,500,3,7,1,0.7,1,1,1.0
176,1800000,30,30,111,59,420,530,3,0.5,32,85,44,96,9,9,340,6,7,0,0.5,0,1,0.7
177,2400000,15,15,65,60,230,770,2,0.7999999999999999,24,67,82,88,12,12,400,10,1,0,0.5,1,0,0.8999999999999999
178,1200000,30,30,60,57,600,770,2,0.5,14,44,52,40,10,16,500,8,1,1,0.6,0,1,0.8999999999999999
179,3000000,15,15,90,83,680,160,5,0.5,10,79,40,54,12,13,440,8,7,1,0.5,0,0,0.7
180,1200000,10,10,54,32,220,880,4,0.5,56,53,94,78,10,12,80,2,7,1,0.7,1,0,0.7
181,1200000,20,20,46,76,670,200,3,1.0,42,50,30,26,14,9,120,2,1,1,0.6,1,0,0.7
182,1200000,20,20,69,92,140,320,4,0.6,56,67,118,52,8,15,180,7,2,0,0.7999999999999999,1,0,0.7999999999999999
183,1800000,15,15,45,119,810,700,1,0.7,54,84,110,96,11,17,100,8,5,1,0.7,1,0,0.6
184,1800000,15,15,82,33,720,460,4,0.7999999999999999,34,128,28,28,9,17,40,2,7,0,0.8999999999999999,1,0,0.8999999999999999
185,2400000,15,15,96,26,230,240,1,0.7999999999999999,10,52,58,120,10,9,480,4,1,0,0.8999999999999999,1,1,0.8999999999999999
186,3000000,20,20,67,47,770,240,4,0.6,8,113,64,82,12,15,180,5,4,0,0.6,0,1,0.6
187,3000000,10,10,73,92,950,780,2,0.7,34,98,116,66,10,9,400,7,7,0,1.0,1,1,0.6
188,1200000,10,10,70,41,290,260,4,0.8999999999999999,14,49,68,128,9,12,160,7,8,1,0.5,1,0,1.0
189,1800000,15,15,34,126,920,610,5,0.5,18,98,86,94,12,9,160,9,2,1,0.7,1,0,0.8999999999999999
190,3000000,10,10,83,44,480,370,4,0.6,16,111,44,46,12,14,200,3,4,0,0.7,0,0,1.0
191,2400000,30,30,36,25,940,390,5,0.5,38,119,38,108,10,14,340,5,3,1,0.7,1,1,0.7
192,1800000,30,30,105,78,830,210,5,0.7,38,128,114,78,12,15,220,6,1,0,0.8999999999999999,0,1,0.5
193,1200000,10,10,66,122,770,240,1,0.7999999999999999,10,74,102,104,11,10,80,10,6,1,0.5,0,1,0.7999999999999999
194,3000000,15,15,76,96,570,410,3,0.7,28,36,54,112,12,8,500,5,3,1,1.0,0,0,0.7
195,2400000,30,30,82,91,660,360,5,0.8999999999999999,6,84,38,30,8,18,220,8,3,0,0.7999999999999999,0,1,0.7999999999999999
196,1800000,20,20,115,43,660,240,1,0.7,16,32,126,90,13,13,440,5,3,0,0.6,0,0,1.0
197,1200000,30,30,63,27,960,730,3,0.7999999999999999,28,122,80,50,13,17,80,1,2,0,0.8999999999999999,1,0,0.8999999999999999
198,2400000,10,10,24,36,450,920,3,0.8999999999999999,14,62,122,36,11,9,480,3,6,0,0.8999999999999999,1,0,0.6
199,2400000,30,30,110,117,420,760,1,1.0,62,121,58,72,14,9,260,3,7,0,0.5,1,1,0.5
200,3000000,15,15,119,93,550,830,1,0.8999999999999999,8,126,44,120,14,16,400,1,7,0,0.7,1,1,0.7999999999999999
201,1200000,30,30,60,40,480,500,5,1.0,4,89,42,100,12,12,200,8,3,1,0.8999999999999999,1,0,0.5
202,1200000,30,30,60,113,690,490,3,0.8999999999999999,62,90,50,50,13,18,200,1,1,1,0.6,1,0,0.6
203,1800000,30,30,108,27,890,980,5,0.8999999999999999,14,29,48,52,12,13,280,10,6,0,0.7,1,1,0.7999999999999999
204,2400000,20,20,119,88,350,540,5,0.5,14,88,76,44,11,9,100,5,5,0,0.5,1,1,0.5
205,2400000,30,30,89,61,320,200,5,1.0,38,101,114,106,13,15,300,9,5,0,0.6,0,1,0.6
206,2400000,20,20,29,128,410,840,5,0.7,56,110,84,98,9,12,280,6,8,1,0.7999999999999999,1,0,0.8999999999999999
207,1200000,30,30,73,26,720,430,4,0.5,16,76,52,38,8,10,180,6,7,0,0.7,1,0,0.8999999999999999
208,3000000,10,10,47,102,890,300,1,0.8999999999999999,20,76,52,24,11,13,120,4,4,1,0.7,1,0,1.0
209,1200000,15,15,67,40,580,260,3,1.0,54,106,106,54,13,17,60,3,1,1,0.5,0,0,0.7
210,3000000,15,15,57,40,560,290,1,0.7,54,62,110,50,10,13,220,2,1,1,1.0,1,0,0.6
211,1200000,10,10,105,52,670,570,2,0.5,24,73,76,52,11,16,120,3,5,1,0.7999999999999999,1,0,1.0
212,1800000,30,30,101,25,900,780,3,1.0,54,82,94,64,10,11,260,3,2,1,0.5,0,1,0.5
213,1800000,20,20,105,128,590,960,2,0.8999999999999999,10,127,98,24,11,8,180,10,8,1,0.7,0,0,0.8999999999999999
214,1800000,15,15,30,92,980,520,3,0.7,48,24,128,74,12,8,100,9,1,0,0.5,0,0,1.0
215,2400000,10,10,82,53,910,400,2,0.7999999999999999,36,91,58,128,12,13,460,10,8,0,0.7,1,1,0.7999999999999999
216,3000000,10,10,109,74,400,120,2,0.7999999999999999,42,31,80,120,13,17,160,7,1,1,0.8999999999999999,1,0,0.7
217,3000000,15,15,61,109,420,860,3,1.0,50,112,70,48,14,11,100,5,7,0,0.5,1,1,0.5
218,1200000,10,10,83,31,850,100,1,0.7,26,122,88,74,11,18,340,6,8,1,0.7,1,0,0.7
219,1800000,10,10,117,96,1000,190,4,0.7999999999999999,26,40,94,116,14,13,60,7,4,0,0.6,0,1,0.5
220,3000000,10,10,53,61,710,620,4,0.8999999999999999,36,121,102,32,8,8,200,10,6,0,1.0,0,1,1.0
221,3000000,30,30,52,28,820,250,1,0.5,62,101,36,102,9,15,220,6,3,1,1.0,0,0,0.6
222,1200000,30,30,125,39,100,470,5,0.7999999999999999,16,57,78,52,14,17,280,8,7,0,0.5,1,1,1.0
223,3000000,15,15,109,114,980,860,4,0.5,14,33,38,116,13,15,40,1,8,0,0.5,0,0,0.7999999999999999
224,1200000,20,20,122,122,190,950,1,1.0,46,87,24,26,9,8,380,1,8,0,0.5,1,0,0.7999999999999999
