id,me,reframes,subme,utilizedCoreFrequency,utilizedCores
223,12,16,5,800,4
224,16,16,5,800,4
225,1,4,1,1400,4
226,12,4,1,1400,4
227,16,4,1,1400,4
228,1,8,1,1400,4
229,12,8,1,1400,4
230,16,8,1,1400,4
231,1,16,1,1400,4
232,12,16,1,1400,4
233,16,16,1,1400,4
234,1,4,2,1400,4
235,12,4,2,1400,4
236,16,4,2,1400,4
237,1,8,2,1400,4
238,12,8,2,1400,4
239,16,8,2,1400,4
240,1,16,2,1400,4
241,12,16,2,1400,4
242,16,16,2,1400,4
243,1,4,3,1400,4
244,12,4,3,1400,4
245,16,4,3,1400,4
246,1,8,3,1400,4
247,12,8,3,1400,4
248,16,8,3,1400,4
249,1,16,3,1400,4
250,12,16,3,1400,4
251,16,16,3,1400,4
252,1,4,4,1400,4
253,12,4,4,1400,4
254,16,4,4,1400,4
255,1,8,4,1400,4
256,12,8,4,1400,4
257,16,8,4,1400,4
258,1,16,4,1400,4
259,12,16,4,1400,4
260,16,16,4,1400,4
261,1,4,5,1400,4
262,12,4,5,1400,4
263,16,4,5,1400,4
264,1,8,5,1400,4
265,12,8,5,1400,4
266,16,8,5,1400,4
267,1,16,5,1400,4
268,12,16,5,1400,4
269,16,16,5,1400,4
